BDD_ID,Bench Label
369701,3636
369708,3715
369776,4253
369785,4338
1337,2733
82611,4805
271533,4870
154321,4534
155381,4597
170374,4694
175884,4750
178307,4749
180969,4787
191782,4822
371100,4889
377964,4928
191782,4929
294464,4952
396770,4970
408631,4984
408635,5013
276330,2123
408651,4907
408671,5058
408671,5111
408671,5151
408691,5197
27,2736
40,2639
285,702
408695,2901
49,2233
82616,3505
82621,3688
1879,3965
82723,4031
82730,4048
82754,4077
82801,4108
408713,4149
408727,4192
896,2638
912,3079
408731,3302
925,3078
408733,3301
937,3077
408736,3300
946,3076
408738,3299
961,3075
408741,3298
970,3074
408743,3297
980,3073
408746,3296
988,3072
408747,311
408751,3295
408776,3401
408779,3544
29,1844
912,3015
408781,3238
925,3014
408784,3237
937,3013
408786,3236
946,3012
408788,3235
961,3011
408790,3234
970,3010
408792,3233
980,3009
278340,3232
988,3008
408796,3231
408979,3393
408982,3543
408985,3637
408992,3716
409072,4254
409081,4341
1337,2735
409606,4186
410144,4291
82801,4359
408713,4486
14650,4182
411654,4528
412018,4299
412835,4487
415937,4576
418642,4636
420038,4635
421355,4675
426766,4711
426770,4797
276330,2124
426787,4794
426806,4876
426806,4937
435062,5220
436496,4978
442640,5196
457660,5236
457660,5269
476083,5284
480084,5283
503415,5295
544642,5309
544642,5335
551944,5352
27,2738
551946,1824
39,2221
551947,2641
1336,1325
551949,1747
551950,1738
15,2144
1089,724
551952,2347
551954,2145
551955,2143
4467,947
4490,1470
4447,944
7686,1694
4491,1469
7652,1693
551956,1936
551957,2142
4450,941
4492,1468
4724,938
7728,1692
4821,1467
7724,1691
551958,1933
551961,2342
551962,2141
551965,2341
551973,2471
551977,2980
551984,3206
551989,3406
551990,2234
551996,3181
551996,3511
552002,3689
6774,3861
6774,3971
552182,4032
552189,4049
552210,4078
552300,4109
552336,4150
552342,4193
896,2640
912,3087
552346,3310
925,3086
552348,3309
937,3085
552351,3308
946,3084
552353,3307
961,3083
552356,3306
970,3082
552358,3305
980,3081
552361,3304
988,3080
552362,317
552366,3303
552395,3402
552397,3546
29,1845
912,3023
552399,3246
925,3022
552401,3245
937,3021
552403,3244
946,3020
552405,3243
961,3019
552407,3242
970,3018
972,3241
980,3017
369510,3240
988,3016
552411,3239
552708,3394
552711,3545
552714,3638
552721,3717
552821,4255
552832,4344
1337,2737
47487,1922
552838,3184
552838,3514
552844,3696
5388,3865
5388,3974
553031,4055
553038,4054
553063,4090
553156,4128
553162,3187
553162,3520
553168,3694
45499,3868
45499,3980
553351,4052
553358,4051
553383,4088
553476,4123
553476,4223
553858,4319
554319,4493
554780,4558
554786,3690
554786,3827
554792,3911
6103,3940
6103,4067
554967,4127
554974,4126
554999,4161
555090,4218
555090,4362
555126,4491
555147,3818
555147,3917
555466,4238
555487,3815
555851,4287
555851,4430
556435,4530
556747,4529
557309,4573
558539,4623
559536,4677
560086,4676
560789,4716
562784,4757
563074,4242
563074,4365
563357,4461
553156,4247
563393,4330
555147,3921
563728,4393
563748,4013
564040,4329
564702,4458
564702,4581
565259,4641
565602,4640
566038,4678
567174,4717
14650,4296
412018,4295
409606,4331
567821,4468
567821,4564
568312,4318
568900,4390
568900,4537
569434,4602
551996,3508
552002,3704
6774,3968
552182,4066
552189,4065
552210,4101
552300,4142
552336,4241
570202,4328
570254,4327
570275,3916
570296,3948
571621,4427
572739,4511
573089,4510
573871,4555
576295,4599
576295,4697
578436,4754
579437,4753
580682,4788
584913,4823
590561,4901
568900,4540
569434,4603
576295,4700
578436,4756
579437,4755
580682,4789
584913,4826
592201,4868
594110,4900
595731,4926
595735,4954
276330,2125
595748,4913
595768,4988
595768,5042
596100,5097
27,2740
551947,2643
15,2150
1084,736
596102,2351
551954,2151
551955,2149
1082,763
1082,1490
913,1946
1087,749
1087,1487
9419,2139
926,1945
348064,2138
360097,2334
367146,2477
1084,1484
938,1944
1089,1481
7937,2137
947,1943
10280,2136
169504,2331
490654,2757
169494,2476
466881,2756
531985,2977
596107,3388
596114,3535
596119,3642
551990,2235
554786,3830
554792,3906
6103,4070
554967,4110
554974,4122
554999,4151
555090,4194
555126,4256
596128,4304
896,2642
912,3095
596132,3318
925,3094
596134,3317
937,3093
596137,3316
946,3092
596139,3315
961,3091
596142,3314
970,3090
596144,3313
980,3089
596147,3312
988,3088
596148,322
596152,3311
596181,3403
596184,3548
29,1846
912,3031
596186,3254
925,3030
596188,3253
937,3029
596190,3252
946,3028
596192,3251
961,3027
596194,3250
970,3026
278338,3249
980,3025
408746,3248
988,3024
596197,3247
596447,3395
596450,3547
596453,3639
596460,3718
596564,4377
596575,4475
1337,2739
597933,4808
600026,4872
562784,4854
602584,4905
603385,4904
605185,4930
609827,4953
609831,4973
276330,2126
609844,4838
609864,5018
609864,5070
612281,5110
612439,5109
614469,5125
618982,5145
618982,5205
620728,5233
27,2742
551947,2645
15,2157
620730,2355
551954,2156
4259,1340
6412,1725
620734,2354
551955,2155
92,683
157,699
620735,1267
6311,1722
620741,2148
19,839
19,1273
620742,2350
17,1736
1398,935
1476,1262
1382,932
10257,1512
1477,1261
10219,1511
166777,1718
166777,2316
166860,2468
1385,929
1478,1260
192,926
620743,1510
276,1259
620744,1509
620746,1715
620746,2313
620747,2749
620748,2467
620749,2748
620751,2966
620752,3196
620753,3387
620759,3534
620765,3633
620774,3712
620779,3779
551990,2236
552838,3517
552844,3693
5388,3977
553031,4033
553038,4050
553063,4079
553156,4111
563393,4152
620788,4195
896,2644
912,3103
620792,3326
925,3102
620794,3325
937,3101
620797,3324
946,3100
620799,3323
961,3099
620802,3322
970,3098
620804,3321
980,3097
620807,3320
988,3096
620808,326
620812,3319
620841,3404
620844,3550
29,1847
912,3039
620846,3262
925,3038
620848,3261
937,3037
620850,3260
946,3036
620852,3259
961,3035
963,3258
970,3034
369508,3257
980,3033
552361,3256
988,3032
620854,3255
621006,3396
621009,3549
621012,3640
621019,3719
621092,4257
621103,4347
1337,2741
567821,4664
592814,4726
563074,4368
563357,4462
564702,4584
565259,4643
565602,4642
566038,4679
567174,4721
621505,4775
623215,4829
567174,4830
600026,4873
627764,4906
630641,4931
630645,4957
276330,2127
630658,4800
630678,4996
630678,5039
630698,5095
27,2744
551947,2647
15,2154
630700,2353
551954,2153
6114,1264
25308,1735
630704,2352
551955,2152
19,1276
96,1263
630705,1520
630706,1966
17,1737
285,1478
157,1942
93,1475
342808,2135
92,1941
348529,2134
360772,2328
367506,2475
94,1471
89,1939
41,950
630707,2133
42,1474
630708,1940
364587,2325
630710,2755
355711,2474
630711,2754
544644,2973
630715,3389
630718,3536
630724,3632
630733,3711
630738,3780
551990,2237
553162,3523
553168,3695
45499,3983
553351,4034
553358,4053
553383,4080
553476,4112
630774,4153
630783,4196
896,2646
912,3111
630787,3334
925,3110
630789,3333
937,3109
630792,3332
946,3108
630794,3331
961,3107
630797,3330
970,3106
630799,3329
980,3105
630801,3328
988,3104
630802,329
630806,3327
630835,3405
630838,3552
29,1848
912,3047
630840,3270
925,3046
630842,3269
937,3045
630844,3268
946,3044
630846,3267
961,3043
278336,3266
970,3042
408743,3265
980,3041
596147,3264
988,3040
630848,3263
630969,3397
630972,3551
630975,3641
630982,3720
631055,4258
631066,4350
1337,2743
553476,4371
630774,4464
55692,965
631274,4515
66270,1460
631563,4463
632075,4559
632079,4650
276330,2128
632092,4647
632111,4727
632111,4812
632998,5108
633167,4885
633909,5094
635638,5122
635638,5174
638448,5245
639217,5217
642488,5232
648466,5258
648466,5292
698613,5355
699553,5312
751488,5349
853914,5359
544642,5332
551944,5353
648466,5289
698613,5354
699553,5313
751488,5348
853914,5358
865554,5361
618982,5209
620728,5235
635638,5177
638448,5246
639217,5219
642488,5234
648466,5261
699553,5279
699553,5306
648466,5322
408671,5154
408691,5199
426806,4940
435062,5221
436496,4979
442640,5198
457660,5240
480084,5250
4440,923
122,920
865555,1461
880531,5114
880531,5163
895478,5203
912655,5128
912655,5188
927742,5224
938220,5225
943939,5243
966415,5257
975695,5266
975696,350
927743,1464
927743,1930
975698,2307
987400,5286
987403,2310
880531,5160
895478,5201
912655,5184
927742,5223
938220,5222
943939,5242
966415,5254
1027494,5278
1094421,5285
0,5277
1204532,5298
1204532,5327
1281027,5341
1318180,5344
1396523,5351
1544381,5357
699553,5303
648466,5323
1204532,5324
1281027,5340
1318180,5345
1396523,5350
1544381,5356
1544381,5360
278304,5085
344891,5055
408691,5061
436496,4880
1562183,5133
612439,5021
630698,4999
596100,4991
633167,4730
1569526,5066
1582441,5173
1603966,5136
1644315,5193
1644586,5215
1665385,5231
1582441,5166
1618171,5192
408671,5103
408671,5121
276367,5120
339071,5102
609864,5046
609864,5078
630678,5029
630678,5047
595768,5026
595768,5045
1665386,1331
1665387,1756
1665388,2184
87573,4569
1671107,4630
55691,4413
1672409,4668
1674778,4506
1677188,4629
1680670,4704
1683948,4772
1685065,4817
35177,4479
45078,4568
110702,4613
1685173,4688
112982,4687
1686632,4733
1688261,4769
1690344,4860
1690633,4816
1691541,4859
1695272,4895
1695284,4921
1695285,2183
926,1499
1087,1731
938,959
5399,1961
1084,1272
5400,1730
5402,2147
569435,2349
1695288,2483
1695289,1770
42,1268
1695290,1729
41,1726
92,1493
93,1728
89,953
2344,1960
94,1271
2345,1727
2347,2146
1695292,2348
1695293,2478
1695295,2764
1697834,4965
1697842,4980
1697842,4964
1697842,5002
426806,4920
426806,4944
632111,4778
632111,4815
7,1334
16,2175
1697845,2482
1697849,2761
13,1769
592814,4442
1697860,4498
1337,2481
1697864,2758
1697893,4588
1697897,4628
1697897,4587
1697897,4667
555851,4398
555851,4497
556747,4496
554319,4545
1698350,4589
1698610,4074
1699761,4073
1699768,4104
1699775,4145
1699782,4028
531985,3384
531985,3697
548457,3778
544644,3484
1699783,3835
520424,3629
1699784,3777
853916,3885
800666,3925
531985,3700
548457,3776
544644,3487
1699783,3834
520424,3628
1699784,3775
853916,3884
800666,3924
853916,3987
551973,2970
551973,3481
552731,3627
166777,2322
166860,2470
620746,2319
620747,2751
620748,2469
620749,2750
620751,2967
620751,3478
1699792,3708
620752,3626
1699793,3707
1699795,3774
551973,3475
552731,3631
620751,3472
1699792,3706
620752,3630
1699793,3705
1699795,3773
1699796,3833
15,1328
14,2181
45242,1258
4944,1257
5660,1256
5184,1255
41119,1508
1699797,1254
1699798,1253
1699799,1252
1699800,1251
1699829,1507
1699852,1721
1699854,2379
1336,1768
7672,768
11227,1067
1699857,1983
1695285,2180
1699858,2376
1699892,2746
1699895,2962
1699895,2745
1699892,3195
25256,1714
25308,1947
136,1250
1699899,1505
1557831,1713
